Date,Open,High,Low,Close,Volume,Symbol
05/01/2023,79,80.5,78.9,79.77,3589864,OGDC
06/01/2023,80,83,79.4,82.31,6016343,OGDC
09/01/2023,82.29,85.9,82.01,84.83,9556450,OGDC
10/01/2023,88,88,83.09,84.43,4541910,OGDC
11/01/2023,85.45,88.14,84.8,87.57,12916671,OGDC
12/01/2023,87.99,89.2,86.32,86.77,5546368,OGDC
13/01/2023,85.9,85.9,81.6,82.04,6502396,OGDC
16/01/2023,81.97,81.97,78.25,79.01,4066153,OGDC
17/01/2023,79.62,80.2,73.16,74.15,5105207,OGDC
18/01/2023,74.5,76.84,74.3,76.09,5724570,OGDC
19/01/2023,76.59,80.43,76.59,79.44,10995702,OGDC
20/01/2023,79.7,80.8,78.3,79.26,3449930,OGDC
23/01/2023,80,82.22,79.51,81.72,3790890,OGDC
24/01/2023,81.72,85.44,81.72,84.5,7615354,OGDC
25/01/2023,86,87.25,85.3,85.97,5623599,OGDC
26/01/2023,86.41,87.15,84,86.3,5701519,OGDC
27/01/2023,86.45,87.5,84.9,86.64,4688381,OGDC
30/01/2023,87.3,88.47,86,86.27,5019786,OGDC
31/01/2023,86.4,88.24,85.55,87.8,4506916,OGDC
01/02/2023,88,89.3,86.9,87.3,5230319,OGDC
02/02/2023,86.73,87.3,84.9,87.02,5157941,OGDC
03/02/2023,87.39,87.4,85.27,85.94,1261253,OGDC
06/02/2023,92.38,92.38,91.21,92.38,10552549,OGDC
07/02/2023,99.3,99.3,97.53,99.3,16106888,OGDC
08/02/2023,98,100.89,95.3,99.78,22259031,OGDC
09/02/2023,102,107.26,100.7,105.95,18217949,OGDC
10/02/2023,102,109.6,99.51,101.06,38731937,OGDC
13/02/2023,100,100.5,97.3,98.8,15131425,OGDC
14/02/2023,99.99,99.99,93.02,93.94,12752194,OGDC
15/02/2023,93.49,96.5,92.32,95.78,7173531,OGDC
16/02/2023,96.2,96.9,93,93.37,6685151,OGDC
17/02/2023,93.06,94.99,93.01,94.58,4774367,OGDC
20/02/2023,94.38,94.5,89,89.72,5383683,OGDC
21/02/2023,90.67,91.7,90.1,91.23,3211839,OGDC
22/02/2023,91.24,91.85,88.61,90.78,10388052,OGDC
23/02/2023,90.4,90.4,87.86,88.63,5525692,OGDC
24/02/2023,88.85,89.47,87.31,87.66,5213678,OGDC
27/02/2023,87.2,88.2,85.5,85.93,2249423,OGDC
28/02/2023,85.6,86.49,81.93,82.62,5333028,OGDC
01/03/2023,82.01,82.02,79.4,80.85,6085035,OGDC
02/03/2023,80.1,83,80,82.04,4211620,OGDC
03/03/2023,80.86,88.19,80.86,88.12,13422769,OGDC
06/03/2023,86.84,89.85,85.87,86.49,8787996,OGDC
07/03/2023,87.2,87.35,84.8,85.3,3637278,OGDC
08/03/2023,84.99,87.7,84.9,86.29,6363804,OGDC
09/03/2023,86.8,87.48,86.15,87.19,2499392,OGDC
10/03/2023,87.59,87.74,86.69,86.88,1839096,OGDC
13/03/2023,89.25,93.39,89.25,93.2,18456595,OGDC
14/03/2023,92.8,93,90.56,91.8,8699947,OGDC
15/03/2023,91.59,92.75,91,91.73,4386458,OGDC
16/03/2023,92.05,92.4,89.72,90.07,3082568,OGDC
17/03/2023,90.4,90.4,88.5,89.68,4208478,OGDC
20/03/2023,89.51,89.51,86.31,86.83,3771274,OGDC
21/03/2023,87,88.82,86.4,88.09,3624109,OGDC
22/03/2023,87.45,88.7,85.8,85.99,1725014,OGDC
24/03/2023,85.81,86,84.5,84.67,574968,OGDC
27/03/2023,85.08,85.8,84,84.81,748707,OGDC
28/03/2023,84.81,85.48,84.4,84.51,1064294,OGDC
29/03/2023,84.89,84.89,83.52,84.04,999991,OGDC
30/03/2023,84.49,85.7,83.65,83.83,3343193,OGDC
31/03/2023,84,84.28,82.65,83.36,2441216,OGDC
03/04/2023,84.22,84.49,83,83.45,1505351,OGDC
04/04/2023,83.3,83.3,80.9,82.41,2765087,OGDC
05/04/2023,82.5,83.33,81.03,81.68,4567822,OGDC
06/04/2023,82.7,87.8,82.65,87.34,10588322,OGDC
07/04/2023,87.71,87.97,84.5,84.69,4694653,OGDC
10/04/2023,84.5,84.88,83.5,83.63,1166108,OGDC
11/04/2023,84.29,84.29,82.8,83.45,782206,OGDC
12/04/2023,83.1,85.94,83.05,85.25,2311136,OGDC
13/04/2023,86.5,87.54,85.21,85.82,3918667,OGDC
17/04/2023,86.49,86.7,85.6,85.92,1493547,OGDC
18/04/2023,86.3,86.3,85.42,86.03,1621594,OGDC
19/04/2023,86.09,86.7,85.6,86.38,997745,OGDC
20/04/2023,86.7,87.65,86.01,87.41,2875066,OGDC
26/04/2023,87.41,88.14,86.75,87.06,2650189,OGDC
27/04/2023,87.4,87.6,86.52,86.93,3320080,OGDC
28/04/2023,87.4,87.48,85.8,85.97,2370620,OGDC
02/05/2023,86.11,86.38,85,85.14,2335414,OGDC
03/05/2023,85.15,86.5,84.85,86.12,3246696,OGDC
04/05/2023,86.26,86.49,85,85.19,2517489,OGDC
05/05/2023,85.18,86.99,84.95,86.17,3759969,OGDC
08/05/2023,84.79,84.9,81.6,82.09,3969537,OGDC
09/05/2023,82.25,82.25,79.7,80.25,6109361,OGDC
10/05/2023,80,80.71,78.5,78.63,3068518,OGDC
11/05/2023,79,79.89,78.6,78.92,2200473,OGDC
12/05/2023,79.4,79.97,77.92,78.24,3755722,OGDC
15/05/2023,78.2,78.2,76.4,76.81,4927429,OGDC
16/05/2023,77.3,79.9,77.2,79.61,6272502,OGDC
17/05/2023,80.2,80.25,77.9,78.04,2799253,OGDC
18/05/2023,78.6,78.6,76.62,76.83,4997154,OGDC
19/05/2023,76.8,77.95,76.8,77.3,2330981,OGDC
22/05/2023,77,77.45,75.61,75.98,4488921,OGDC
23/05/2023,75.98,76.25,75,75.12,3325975,OGDC
24/05/2023,75.6,76.29,74.9,75.16,3246386,OGDC
25/05/2023,75.7,76.41,75.11,75.67,3692857,OGDC
26/05/2023,75.6,75.71,73.5,74.11,2702758,OGDC
29/05/2023,74.4,76.1,74.1,74.61,4021878,OGDC
30/05/2023,75,76.66,75,75.78,4514023,OGDC
31/05/2023,75.9,76.3,74.5,74.82,3593659,OGDC
01/06/2023,75.01,75.65,74.55,75.23,1397603,OGDC
02/06/2023,75.36,75.5,74.9,75.34,842756,OGDC
05/06/2023,76.4,78.65,75.6,78.45,8459334,OGDC
06/06/2023,78.9,80.4,78.11,78.47,8973676,OGDC
07/06/2023,78.47,79.5,77.5,78.97,2345653,OGDC
08/06/2023,79,80.25,78.4,78.62,3834904,OGDC
09/06/2023,78.78,80.12,78.5,79.83,4140321,OGDC
12/06/2023,79.85,80,77.03,77.48,3523397,OGDC
13/06/2023,78.24,78.4,77.08,77.43,1627614,OGDC
14/06/2023,77.6,78.25,77.2,77.66,1488762,OGDC
15/06/2023,77.03,77.5,76.25,76.37,2042241,OGDC
16/06/2023,76.5,77.24,75.8,76,2068412,OGDC
19/06/2023,76.5,76.7,73.1,73.69,3959904,OGDC
20/06/2023,74,75.24,73.3,75.01,4484598,OGDC
21/06/2023,75.5,75.65,73.75,73.99,3492226,OGDC
22/06/2023,74.38,75,73.9,74.47,1012450,OGDC
23/06/2023,75,75,73.8,74.44,2050520,OGDC
26/06/2023,76,77.85,76,77.28,8154666,OGDC
27/06/2023,77.12,78.85,76.5,78,10932081,OGDC
03/07/2023,83.85,83.85,83.85,83.85,1139805,OGDC
04/07/2023,87.5,87.5,84.5,85.23,18359451,OGDC
05/07/2023,85.9,86.25,83.59,83.89,6014874,OGDC
06/07/2023,84,86.95,84,86.14,11511519,OGDC
07/07/2023,86.2,86.5,85,85.18,2284433,OGDC
10/07/2023,85.6,85.9,84.31,84.65,4910360,OGDC
11/07/2023,85.06,86.5,84.2,85.58,8868315,OGDC
12/07/2023,86.5,87.73,85.61,87.1,10791446,OGDC
13/07/2023,87.98,88.25,86.5,86.68,10861164,OGDC
14/07/2023,86.9,86.9,85.07,85.3,2116695,OGDC
17/07/2023,85.5,85.85,84.7,84.93,4242706,OGDC
18/07/2023,85.24,85.4,83.9,84.18,2567334,OGDC
19/07/2023,84.65,85.52,84.02,84.28,7908623,OGDC
20/07/2023,84.88,86.25,84.36,85.78,7304995,OGDC
21/07/2023,86.4,86.53,85.03,85.21,5460130,OGDC
24/07/2023,86,87,84.8,85.3,4833108,OGDC
25/07/2023,85.75,87.89,85.52,87.29,13058495,OGDC
26/07/2023,87.5,87.8,86.6,86.82,4726907,OGDC
27/07/2023,86.99,93.33,86.99,91.67,28511229,OGDC
31/07/2023,93,98.55,93,98.55,22459291,OGDC
01/08/2023,101,101.48,97.2,97.93,14887779,OGDC
02/08/2023,98.05,105,97.9,104.08,28365714,OGDC
03/08/2023,105.2,107.7,103.11,104.26,24521243,OGDC
04/08/2023,104,108.8,103.99,107.66,27995429,OGDC
07/08/2023,109,111.5,104.35,105.57,26010351,OGDC
08/08/2023,104,104,97.65,97.85,27785286,OGDC
09/08/2023,97,105.19,96,104.35,37776498,OGDC
10/08/2023,107.02,107.49,99.11,100.61,22027805,OGDC
11/08/2023,101.5,106.2,100.55,103.47,22570520,OGDC
15/08/2023,104,104,100.9,101.27,12071945,OGDC
16/08/2023,101,101,97.8,98.28,10957134,OGDC
17/08/2023,98.6,99.89,96.8,99.52,9372798,OGDC
18/08/2023,100.01,102.44,98.63,99.29,19811273,OGDC
21/08/2023,98,98.99,96.01,96.44,7312226,OGDC
22/08/2023,96,100,96,99.51,13626842,OGDC
23/08/2023,100.5,100.79,98.55,100.06,16050104,OGDC
24/08/2023,100.5,101.95,100.2,100.71,12764451,OGDC
25/08/2023,100.49,100.49,98.85,99.19,6372621,OGDC
28/08/2023,99.01,99.5,96.75,97.05,5005999,OGDC
29/08/2023,96.3,97.3,93.85,95.68,6318415,OGDC
30/08/2023,95.56,96.93,93.01,94.25,6720973,OGDC
31/08/2023,94.5,96.23,88.1,92.95,17491092,OGDC
01/09/2023,93.5,94.75,92.15,94.46,4133540,OGDC
04/09/2023,95.2,95.98,95.03,95.48,2749710,OGDC
05/09/2023,95.8,95.95,93.54,93.87,3940168,OGDC
06/09/2023,94.49,95.7,93.2,95.03,4240419,OGDC
07/09/2023,95.15,96.85,94.11,95.02,7844273,OGDC
08/09/2023,95.5,96.44,94.6,95.96,4333104,OGDC
11/09/2023,96.4,96.99,95.09,96,6296596,OGDC
12/09/2023,94.99,94.99,92.9,93.36,3443533,OGDC
13/09/2023,93.15,94.68,93.15,93.83,2627321,OGDC
14/09/2023,93.9,94.35,93.8,94.25,1360455,OGDC
15/09/2023,95.9,96.4,94.35,94.67,4692649,OGDC
18/09/2023,94.99,95.65,94.65,95.17,1522474,OGDC
19/09/2023,95.7,96.79,95.26,96.08,3006186,OGDC
20/09/2023,96.2,96.47,94.65,95.01,1882996,OGDC
21/09/2023,95,95.93,93.75,95.54,2113012,OGDC
22/09/2023,95.94,96.69,94.9,96.01,2727059,OGDC
25/09/2023,96.4,96.9,95.75,96.64,3129427,OGDC
26/09/2023,96.04,96.8,95.75,95.99,1851960,OGDC
27/09/2023,96.19,98.25,95.5,97.81,6830288,OGDC
28/09/2023,98.5,98.5,96.1,96.46,10868813,OGDC
02/10/2023,96.5,99.72,96.5,99.36,17023821,OGDC
03/10/2023,99.73,100.4,98.13,98.55,9902658,OGDC
04/10/2023,98,99,97.86,98.07,5097021,OGDC
05/10/2023,98,98.44,96.9,97.37,4933716,OGDC
06/10/2023,97.06,97.4,95.52,95.89,5482386,OGDC
09/10/2023,95.15,96.44,94.99,95.51,3007680,OGDC
10/10/2023,95.51,96.19,95.1,95.5,3328348,OGDC
11/10/2023,95.51,97.1,95.51,96.84,5898265,OGDC
12/10/2023,97.15,98.35,96.8,97.28,7861597,OGDC
13/10/2023,97.09,100.25,96.91,98.77,12277567,OGDC
16/10/2023,99.4,100.7,97.7,98.66,5472397,OGDC
17/10/2023,97,97,94.7,95.06,5148182,OGDC
18/10/2023,95.01,95.38,93.45,93.62,4370844,OGDC
19/10/2023,93.55,98.5,93.55,97.77,18109346,OGDC
20/10/2023,97.89,97.9,96.45,97.09,5635981,OGDC
23/10/2023,97.9,104.37,97.7,102.45,27498695,OGDC
24/10/2023,102.6,102.75,99.51,101.02,13018300,OGDC
25/10/2023,101.51,102.76,100.2,100.78,13945391,OGDC
26/10/2023,101.3,101.6,99.8,100.18,7394331,OGDC
27/10/2023,100.4,100.69,98.8,99.16,4521193,OGDC
30/10/2023,99.49,100.89,98.75,100.17,5020490,OGDC
31/10/2023,102.01,102.01,100.11,100.37,7538611,OGDC
01/11/2023,100.75,103.2,100.25,100.44,11174138,OGDC
02/11/2023,100.99,101.9,99.2,100.27,8186728,OGDC
03/11/2023,100.6,101.77,99.95,101.5,8746576,OGDC
06/11/2023,101.6,102.05,100.5,101.64,7410364,OGDC
07/11/2023,102.02,103,101.4,101.52,12020957,OGDC
08/11/2023,101.55,103.09,101.11,102.27,12279739,OGDC
10/11/2023,102,104.8,101.75,103.92,17303084,OGDC
